Name,ParentName,ID,parentID,children_1,children_2,children_3,length_mm,radius_mm,thickness_mm,A0_m2,YMod_Pa,beta_Pam
Popin,Root,1,0,2,3,,28.644,4.459725059,0.62436150826,6.24835999922059e-05,700000,16530340.1610974
Pop1,Popin,2,1,,,,30.7607,1.101073467,0.15415028538,3.80875000228987e-06,700000,66953545.2989352
Pop1seg,Popin,3,1,4,5,,4.4426,4.064217506,0.56899045084,5.18923999945749e-05,700000,18138983.0001486
Pop2,Pop1seg,4,3,,,,26.9571,1.111162755,0.1555627857,3.87886999961506e-06,700000,66345611.314375
Pop2seg,Pop1seg,5,3,6,7,,9.0869,4.277133847,0.59879873858,5.74718999917904e-05,700000,17236021.805104
Pop3,Pop2seg,6,5,,,,21.5407,0.908364503,0.12717103042,2.59221000077268e-06,700000,81157698.2662434
Pop3seg,Pop2seg,7,5,8,,,66.9115,4.277133847,0.59879873858,5.74718999917904e-05,700000,17236021.805104
PopSten,Pop3seg,8,7,9,,,11.125,0.945821391,0.13241499474,2.81039999856193e-06,700000,77943650.8327397
PopPostSten,PopSten,9,8,10,11,,6.9085,3.754371171,0.52561196394,4.42817000082032e-05,700000,19635984.0017108
ATin,PopPostSten,10,9,12,13,,13.562,1.771324391,0.24798541474,9.8570300023289e-06,700000,41619012.6578798
PopTPT,PopPostSten,11,9,20,21,,36.5995,3.047757143,0.42668600002,2.91816999907574e-05,700000,24188532.3506041
AT1,ATin,12,10,,,,14.8214,0.773583955,0.1083017537,1.88003000034975e-06,700000,95297700.7521312
AT1seg,ATin,13,10,14,15,,29.368,1.76782934,0.2474961076,9.81817000041383e-06,700000,41701294.6794062
AT2,AT1seg,14,13,,,,15.3882,0.666097428,0.09325363992,1.39387999822297e-06,700000,110675659.672777
AT2seg,AT1seg,15,13,16,17,,95.809,1.883708963,0.26371925482,1.11475000033072e-05,700000,39135967.2318129
AT3,AT2seg,16,15,,,,11.441,0.776151408,0.10866119712,1.89252999761545e-06,700000,94982462.8163789
AT3seg,AT2seg,17,15,18,19,,22.934,1.615916187,0.22622826618,8.20328000086347e-06,700000,45621655.9022811
AT4,AT3seg,18,17,,,,18.5914,0.713107513,0.09983505182,1.59757000071128e-06,700000,103379603.925503
Atout,AT3seg,19,17,,,,209.138,1.32382851,0.1853359914,5.50571000134417e-06,700000,55687554.462957
Ptin,PopTPT,20,11,22,23,,131.09,2.095878875,0.2934230425,1.38000999948049e-05,700000,35174156.8320546
Perin,PopTPT,21,11,28,29,,14.232,2.095871282,0.29342197948,1.38000000043229e-05,700000,35174284.262291
PT1,Ptin,22,20,,,,14.0006,0.956205643,0.13386879002,2.87244999728696e-06,700000,77097194.3011637
PT1seg,Ptin,23,20,24,25,,16.967,1.785942996,0.25003201944,1.00204000045409e-05,700000,41278345.6220907
PT2,PT1seg,24,23,,,,15.9083,0.816809354,0.11435330956,2.09599999792866e-06,700000,90254564.1638675
PT2seg,PT1seg,25,23,26,27,,22.495,1.706724313,0.23894140382,9.15116999823066e-06,700000,43194306.0098894
PT3,PT2seg,26,25,,,,25.4623,0.760880305,0.1065232427,1.81879000202531e-06,700000,96888790.2154862
Ptout,PT2seg,27,25,,,,171.218,1.336813853,0.18715393942,5.61424999706374e-06,700000,55146625.0030251
Per1,Perin,28,21,,,,15.5706,0.787872119,0.11030209666,1.95012000205088e-06,700000,93569464.4757954
Per1seg,Perin,29,21,30,31,,8.147,2.095871282,0.29342197948,1.38000000043229e-05,700000,35174284.262291
Per2,Per1seg,30,29,,,,11.6425,0.96880568,0.1356327952,2.94864999907143e-06,700000,76094488.0610528
Per2seg,Per1seg,31,29,32,33,,72.648,2.093721151,0.29312096114,1.37716999955624e-05,700000,35210406.2257907
Per3,Per2seg,32,31,,,,19.0966,0.76581956,0.1072147384,1.84247999806064e-06,700000,96263893.0902211
Per3seg,Per2seg,33,31,34,35,,47.778,1.349099872,0.18887398208,5.71792000069868e-06,700000,54644414.2352125
Per4,Per3seg,34,33,,,,15.9931,0.753916473,0.10554830622,1.78564999998955e-06,700000,97783739.8311367
Perout,Per3seg,35,33,,,,107.158,1.150217775,0.1610304885,4.15633000214783e-06,700000,64092882.1068168
